word,up,down,total,polar_score,polarity
종금/MAG,44,102,146,0.39098780392862426,Dovish
불똥/NNG,12,15,27,0.7251046545585396,Dovish
가수요/NNG,25,46,71,0.49259827075987744,Dovish
브로커리지/NNG,21,32,53,0.594812411942552,Dovish
공적연금/NNG,17,31,48,0.49704754546351493,Dovish
뉴비/NNG,20,27,47,0.6713931986653144,Dovish
보호주의/NNG,7,26,33,0.24402560489950847,Dovish
박수/NNG,16,26,42,0.5577728111988766,Dovish
우려/NNG;축소/NNG,8,10,18,0.7251046545585396,Dovish
부정/NNG,86,108,194,0.721747688565213,Dovish
기업구조조정촉진법/NNG,7,18,25,0.3524814292992901,Dovish
금융중개지원대출/NNG,37,71,108,0.47233929962440074,Dovish
수증/NNG,24,34,58,0.639798224610476,Dovish
자문사/NNG,4,17,21,0.2132660748701587,Dovish
득득/MAG,19,29,48,0.5938357084746659,Dovish
소비자/NNG;심리/NNG;개선/NNG,7,11,18,0.5767877933988383,Dovish
사회적비용/NNG,7,11,18,0.5767877933988383,Dovish
물가/NNG;강하/VA,6,11,17,0.49438953719900425,Dovish
공적/NNG,12,15,27,0.7251046545585396,Dovish
국채/NNG;발행/NNG;부담/NNG,23,33,56,0.6317199641987277,Dovish
퍼질/VV,8,10,18,0.7251046545585396,Dovish
당과/NNG,9,11,20,0.7415843057985064,Dovish
신청일/NNG,8,13,21,0.5577728111988766,Dovish
공모펀드/NNG,19,29,48,0.5938357084746659,Dovish
비축유/NNG,10,20,30,0.45319040909908725,Dovish
스냅샷/NNG,16,28,44,0.5179318961132426,Dovish
두르/VV,12,16,28,0.6797856136486308,Dovish
레포/NNG,210,316,526,0.6023416829797995,Dovish
이자/NNG;부담/NNG;경감/NNG,11,16,27,0.6231368125112449,Dovish
대의원/NNG,6,14,20,0.3884489220849319,Dovish
지출/NNG;늘/VV,16,26,42,0.5577728111988766,Dovish
국무회의/NNG,34,57,91,0.5406482073462794,Dovish
時差/NNG,1,26,27,0.034860800699929785,Dovish
전망/NNG;fed/NNG;금리/NNG;인하/NNG,7,11,18,0.5767877933988383,Dovish
재수주/NNG,15,32,47,0.42486600853039425,Dovish
중앙은행장/NNG,4,21,25,0.17264396537108084,Dovish
수출/NNG;부정적/VAX,9,12,21,0.6797856136486309,Dovish
국고채/NNG;금리/NNG;상승/NNG;금리/NNG;상승/NNG,6,19,25,0.2862255215362656,Dovish
연방/NNG,438,562,1000,0.7063964383822071,Dovish
물가/NNG;전망/NNG;높/VV,6,12,18,0.4531904090990872,Dovish
롤러코스터/NNG,18,26,44,0.6274944125987362,Dovish
골라/VV,7,12,19,0.5287221439489351,Dovish
배당가능이익/NNG,7,26,33,0.24402560489950847,Dovish
금리/NNG;상승/NNG;변동성/NNG;확대/NNG,6,11,17,0.49438953719900425,Dovish
fed/NNG;물가/NNG;상승/NNG,8,11,19,0.6591860495986723,Dovish
이자비용/NNG;늘/VV,6,12,18,0.4531904090990872,Dovish
양적완화/NNG;축소/NNG,8,22,30,0.32959302479933617,Dovish
변동성/NNG;작/VA,7,17,24,0.37321563102277766,Dovish
전환기/NNG,6,96,102,0.0566488011373859,Dovish
침묵/NNG,20,27,47,0.6713931986653144,Dovish
합의문/NNG,11,14,25,0.7121563571557085,Dovish
임차인/NNG,37,59,96,0.5684083097174992,Dovish
속한다/VV,11,19,30,0.5247467894831536,Dovish
국채입찰/NNG;수요/NNG;부진/NNG,2,19,21,0.09540850717875521,Dovish
발령/NNG,11,19,30,0.5247467894831536,Dovish
교도/NNG,41,79,120,0.47040017146993857,Dovish
달러엔/NNG;하락/NNG,9,13,22,0.6274944125987362,Dovish
일례/NNG,30,37,67,0.7349033661066279,Dovish
보인다며/VV,8,12,20,0.604253878798783,Dovish
외부충격/NNG,30,37,67,0.7349033661066279,Dovish
국유화/NNG,9,16,25,0.5098392102364732,Dovish
생선/NNG,6,15,21,0.3625523272792698,Dovish
베스/NNG,9,23,32,0.35467075494711175,Dovish
배당률/NNG,6,20,26,0.2719142454594523,Dovish
연수/NNG,19,34,53,0.5065069278166269,Dovish
per/NNG,178,227,405,0.7107303332126654,Dovish
의료비/NNG,22,32,54,0.6231368125112449,Dovish
건전성/NNG;저하/NNG,8,14,22,0.5179318961132426,Dovish
설건/NNG,29,66,95,0.39825823829919793,Dovish
실적/NNG;안정/NNG,6,11,17,0.49438953719900425,Dovish
연설문/NNG,18,34,52,0.47984866845785706,Dovish
광업/NNG,87,108,195,0.7301401035485294,Dovish
부추긴/VV,10,12,22,0.7553173484984788,Dovish
기기국/NNG,5,14,19,0.32370743507077665,Dovish
금리/NNG;상승/NNG;국채/NNG;금리/NNG;오르/VV,8,10,18,0.7251046545585396,Dovish
평평/NNG,443,644,1087,0.6234886684189306,Dovish
주택시장/NNG;안정/NNG,9,11,20,0.7415843057985064,Dovish
드디어/MAG,31,39,70,0.7204565477985488,Dovish
마테오/NNG,5,12,17,0.3776586742492394,Dovish
도드프랭크법/NNG,6,12,18,0.4531904090990872,Dovish
막론/NNG,18,26,44,0.6274944125987362,Dovish
달러원/NNG;하방/NNG,9,14,23,0.5826733831273979,Dovish
조지/NNG,9,15,24,0.5438284909189047,Dovish
달러원/NNG;상승/NNG;압력/NNG,10,21,31,0.4316099134277021,Dovish
집행위원회/NNG,25,47,72,0.48211745648839066,Dovish
최대/NNG;적자/NNG,7,10,17,0.6344665727387221,Dovish
안도/NNG,141,179,320,0.7139647785806849,Dovish
필요시/NNG,119,143,262,0.7542609605984808,Dovish
아폴로/NNG,5,18,23,0.25177244949949296,Dovish
가계조사/NNG,18,34,52,0.47984866845785706,Dovish
크레딧/NNG;선호/NNG,6,14,20,0.3884489220849319,Dovish
링깃/NNG,54,76,130,0.6440074234565977,Dovish
opec/NNG,381,519,900,0.6653778260761166,Dovish
리먼브라더스사태/NNG,37,51,88,0.6575703975163226,Dovish
이미/MAG;금리/NNG;인하/NNG,23,31,54,0.6724760909212262,Dovish
지배/NNG,82,107,189,0.6946095989929935,Dovish
환율조작국/NNG,25,51,76,0.44430432264616393,Dovish
직선/NNG,2,15,17,0.1208507757597566,Dovish
투영/NNG,5,17,22,0.26658259358769837,Dovish
환원/NNG,126,154,280,0.7415843057985064,Dovish
캠페인/NNG,30,57,87,0.47704253589377593,Dovish
선언/NNG,270,357,627,0.6854980977969386,Dovish
신민/NNG,1,24,25,0.03776586742492394,Dovish
마르/VV,8,10,18,0.7251046545585396,Dovish
제자리/NNG,43,72,115,0.5413107664239097,Dovish
인사이더/NNG,95,125,220,0.6888494218306125,Dovish
기보/NNG,22,34,56,0.5864817058929364,Dovish
기다려/VV,7,15,22,0.42297771515914806,Dovish
안일/NNG,13,30,43,0.3927650212192089,Dovish
수요예측/NNG;성공/NNG,12,28,40,0.3884489220849319,Dovish
국채/NNG;가격/NNG;혼조/NNG,20,26,46,0.6972160139985957,Dovish
의장직/NNG,6,11,17,0.49438953719900425,Dovish
저하/NNG;우려/NNG,9,11,20,0.7415843057985064,Dovish
알려져/VV,71,87,158,0.7396900930123033,Dovish
우주/NNG,51,80,131,0.5778177716013362,Dovish
객관적으로/MAG,6,14,20,0.3884489220849319,Dovish
항로/NNG,8,10,18,0.7251046545585396,Dovish
취지/NNG,105,164,269,0.5803047921390752,Dovish
사당/NNG,11,15,26,0.6646792666786613,Dovish
양자/NNG,58,73,131,0.7201381843218372,Dovish
상하위/NNG,57,82,139,0.630045202893853,Dovish
사면/NNG,11,17,28,0.5864817058929364,Dovish
타게팅/NNG,26,50,76,0.4713180254630507,Dovish
디플레이션/NNG;우려/NNG,15,27,42,0.5035448989989858,Dovish
투자심리/NNG;호조/NNG,8,10,18,0.7251046545585396,Dovish
승리/NNG,163,196,359,0.7537758845219512,Dovish
일본식/NNG,8,30,38,0.2417015515195132,Dovish
wto/NNG,20,54,74,0.3356965993326572,Dovish
등록/NNG,138,175,313,0.7147460166362748,Dovish
박탈/NNG,9,14,23,0.5826733831273979,Dovish
대가/NNG,51,61,112,0.7577937988214245,Dovish
소유자/NNG,21,56,77,0.33989280682431544,Dovish
가해/VV,17,22,39,0.7003851776985893,Dovish
월급/NNG,20,25,45,0.7251046545585396,Dovish
일식/NNG,5,13,18,0.34860800699929784,Dovish
장위/NNG,12,21,33,0.5179318961132425,Dovish
사옥/NNG,66,93,159,0.6432380000116077,Dovish
국제에너지기구/NNG,19,36,55,0.47836765404903653,Dovish
만날/VV,11,14,25,0.7121563571557085,Dovish
개척/NNG,14,27,41,0.4699752390657201,Dovish
빌딩/NNG,840,1756,2596,0.43357624560732727,Dovish
민평/NNG;낮/VA,15,20,35,0.6797856136486308,Dovish
개선/NNG;쉽/VA;않/VX,9,14,23,0.5826733831273979,Dovish
전망/NNG;불투명/NNG,9,13,22,0.6274944125987362,Dovish
극우파/NNG,6,18,24,0.3021269393993915,Dovish
재고조정/NNG,25,31,56,0.7309522727404633,Dovish
이론가/NNG,16,26,42,0.5577728111988766,Dovish
망설이/VV,14,21,35,0.6042538787987829,Dovish
작금/NNG,10,15,25,0.604253878798783,Dovish
국채선물/NNG;하락/NNG,14,32,46,0.3965416079617013,Dovish
세일즈/NNG,27,112,139,0.21850251867277423,Dovish
그랬/VV,40,67,107,0.5411228765362236,Dovish
세계/NNG;경기/NNG;회복/NNG,8,22,30,0.32959302479933617,Dovish
파트타임/NNG,20,24,44,0.7553173484984788,Dovish
소관/NNG,16,21,37,0.6905758614843234,Dovish
gdp/NNG;성장률/NNG;둔화/NNG,15,21,36,0.6474148701415531,Dovish
국채/NNG;금리/NNG;하방/NNG,10,17,27,0.5331651871753967,Dovish
순식간/NNG,17,21,38,0.7337368528270936,Dovish
정적/NNG,86,140,226,0.5567767883217357,Dovish
채권/NNG;매수/NNG;확대/NNG,9,12,21,0.6797856136486309,Dovish
스파/NNG,16,25,41,0.5800837236468316,Dovish
풍선/NNG,6,11,17,0.49438953719900425,Dovish
수집/NNG,32,41,73,0.707419175179063,Dovish
키프/NNG,3,24,27,0.1132976022747718,Dovish
신용등급/NNG;위험/NNG,7,20,27,0.31723328636936104,Dovish
평기/NNG,9,17,26,0.47984866845785706,Dovish
자본이익/NNG,32,69,101,0.42035052438176207,Dovish
납부/NNG,89,108,197,0.7469249335151623,Dovish
계부/NNG,23,33,56,0.6317199641987277,Dovish
지준율/NNG;인하/NNG,32,40,72,0.7251046545585396,Dovish
상상품/NNG,7,10,17,0.6344665727387221,Dovish
금석/NNG,1,49,50,0.018497567718330093,Dovish
북북/MAG,70,101,171,0.6281847254838833,Dovish
회사채/NNG;스프레드/NNG;확대/NNG,23,38,61,0.5485989162778424,Dovish
연산/NNG,10,20,30,0.45319040909908725,Dovish
부채/NNG;증가/NNG,55,71,126,0.7021259859281633,Dovish
중위값/NNG,17,25,42,0.6163389563747586,Dovish
중복/NNG,26,41,67,0.5747780798329887,Dovish
인권/NNG,24,39,63,0.5577728111988766,Dovish
국가재정운용계획/NNG,3,14,17,0.19422446104246596,Dovish
대체투자/NNG,136,297,433,0.4150430682658307,Dovish
사계/NNG,1,49,50,0.018497567718330093,Dovish
길동/NNG,13,31,44,0.3800951818250409,Dovish
반란/NNG,18,23,41,0.7093415098942235,Dovish
초년/NNG,2,21,23,0.08632198268554042,Dovish
연체율/NNG;상승/NNG,47,57,104,0.7473666395669157,Dovish
수출/NNG;경기/NNG;회복/NNG,11,16,27,0.6231368125112449,Dovish
최저임금/NNG,161,266,427,0.5485989162778425,Dovish
상환기금채/NNG,16,39,55,0.37184854079925106,Dovish
석사/NNG,6,12,18,0.4531904090990872,Dovish
탈채/NNG,154,188,342,0.7424608829921217,Dovish
fed/NNG;금리/NNG;인하/NNG;줄/VV,6,13,19,0.4183296083991574,Dovish
특단/NNG,10,18,28,0.5035448989989859,Dovish
생산/NNG;회복/NNG,8,11,19,0.6591860495986723,Dovish
전망/NNG;인하/NNG,34,41,75,0.7516328736277544,Dovish
다뤄/VV,8,14,22,0.5179318961132426,Dovish
살인/NNG,6,15,21,0.3625523272792698,Dovish
마이너스gdp/NNG,43,54,97,0.721747688565213,Dovish
법무부/NNG,31,66,97,0.42572432369914254,Dovish
디플레이션/NNG,330,555,885,0.5389291351448604,Dovish
질아/NNG,5,12,17,0.3776586742492394,Dovish
열기/NNG,102,122,224,0.7577937988214245,Dovish
가상화폐/NNG,92,145,237,0.5750830018912555,Dovish
온다/VV,41,55,96,0.6756657008386391,Dovish
철저히/MAG,32,44,76,0.6591860495986723,Dovish
자자/VV,72,170,242,0.38387893476628565,Dovish
훌륭/NNG,12,28,40,0.3884489220849319,Dovish
주택/NNG;경기/NNG;회복/NNG,11,18,29,0.5538993888988843,Dovish
한국판/NNG,53,67,120,0.7169878114104963,Dovish
適應/NNG,1,26,27,0.034860800699929785,Dovish
가나/NNG,7,24,31,0.26436107197446757,Dovish
성장전략/NNG,21,28,49,0.6797856136486309,Dovish
산출물/NNG,9,16,25,0.5098392102364732,Dovish
손절/NNG,97,117,214,0.7514439261984865,Dovish
정부보증채/NNG,38,79,117,0.4359806467282358,Dovish
영원/NNG,7,14,21,0.45319040909908725,Dovish
봉천/NNG,7,16,23,0.3965416079617013,Dovish
전문인력/NNG,10,13,23,0.6972160139985957,Dovish
밝혔으며/VV,15,35,50,0.38844892208493187,Dovish
부스/NNG,8,12,20,0.604253878798783,Dovish
은행지주회사/NNG,19,31,50,0.555523727282752,Dovish
물가/NNG;상승/NNG;견인/NNG,10,12,22,0.7553173484984788,Dovish
금융시장/NNG;금리/NNG;인하/NNG,12,26,38,0.4183296083991574,Dovish
배당투자/NNG,5,17,22,0.26658259358769837,Dovish
결선/NNG,14,32,46,0.3965416079617013,Dovish
금리/NNG;하향/NNG,48,60,108,0.7251046545585396,Dovish
물리/NNG,31,54,85,0.5203297289656187,Dovish
금리/NNG;상승/NNG;압력/NNG;높/VV,7,12,19,0.5287221439489351,Dovish
우려/NNG;경계/NNG,9,11,20,0.7415843057985064,Dovish
국고채/NNG;오르/VV,15,23,38,0.5911179249118529,Dovish
폭우/NNG,10,30,40,0.3021269393993915,Dovish
처할/VV,19,24,43,0.7175514810735547,Dovish
호조/NNG;금리/NNG;인하/NNG,6,12,18,0.4531904090990872,Dovish
치킨게임/NNG,7,19,26,0.3339297751256432,Dovish
비합리/NNG,11,15,26,0.6646792666786613,Dovish
양재/NNG,7,11,18,0.5767877933988383,Dovish
관망/NNG,147,240,387,0.5551582511463818,Dovish
위법/NNG,6,14,20,0.3884489220849319,Dovish
잔잔/NNG,77,133,210,0.5247467894831537,Dovish
상품권/NNG,9,20,29,0.4078713681891785,Dovish
채권비율/NNG,15,22,37,0.6179869214987552,Dovish
하락/NNG;방어/NNG,6,13,19,0.4183296083991574,Dovish
세우/VV,34,41,75,0.7516328736277544,Dovish
사드/NNG,30,55,85,0.4943895371990042,Dovish
눌리/VV,16,21,37,0.6905758614843234,Dovish
인플레이션/NNG;전망/NNG;하향/NNG,4,17,21,0.2132660748701587,Dovish
부차/NNG,5,13,18,0.34860800699929784,Dovish
공표/NNG,130,169,299,0.6972160139985957,Dovish
배치/NNG,55,143,198,0.3486080069992979,Dovish
포자/NNG,7,12,19,0.5287221439489351,Dovish
질병/NNG,18,29,47,0.5625811975023152,Dovish
금과/NNG,30,36,66,0.7553173484984786,Dovish
금리선물/NNG;시장/NNG;fed/NNG;금리/NNG;인하/NNG,8,29,37,0.25003608777880676,Dovish
합계/NNG,841,1030,1871,0.7400643379656939,Dovish
가자지구/NNG,77,108,185,0.6462159537153652,Dovish
영수/NNG,20,58,78,0.3125451097235084,Dovish
철수/NNG,48,113,161,0.3850113210045342,Dovish
편집자/NNG,13,20,33,0.5891475318288134,Dovish
고품질/NNG,9,11,20,0.7415843057985064,Dovish
기대/NNG;후퇴/NNG,22,32,54,0.6231368125112449,Dovish
달러원/NNG;상단/NNG;제한/NNG,8,18,26,0.40283591919918865,Dovish
이안/NNG,6,17,23,0.319899112305238,Dovish
투자포인트/NNG,16,21,37,0.6905758614843234,Dovish
기업명/NNG,331,412,743,0.7281845893776596,Dovish
무드/NNG,8,10,18,0.7251046545585396,Dovish
공천/NNG,7,50,57,0.1268933145477444,Dovish
탈탈/MAG,18,28,46,0.5826733831273979,Dovish
부담액/NNG,11,18,29,0.5538993888988843,Dovish
하방/NNG;위험/NNG;확대/NNG,7,13,20,0.48805120979901695,Dovish
휩쓸/VV,7,11,18,0.5767877933988383,Dovish
국채/NNG;발행/NNG;증가/NNG;우려/NNG,8,11,19,0.6591860495986723,Dovish
식식/MAG,85,116,201,0.6641583581624554,Dovish
경제/NNG;성장/NNG;견조/NNG,5,18,23,0.25177244949949296,Dovish
유동성/NNG;증가/NNG,16,21,37,0.6905758614843234,Dovish
임금/NNG;인상/NNG,62,145,207,0.3875559360571504,Dovish
표방/NNG,5,22,27,0.20599564049958513,Dovish
