,date,call_rate,date_1m_bf,call_rate_1m_bf,Labeling
0,2008.02.29,4.94,2008.01.29,None,None
1,2008.03.01,4.94,2008.02.01,None,None
2,2008.03.02,4.94,2008.02.02,None,None
3,2008.03.03,4.94,2008.02.03,None,None
4,2008.03.04,4.95,2008.02.04,None,None
5,2008.03.05,4.94,2008.02.05,None,None
6,2008.03.06,5.0,2008.02.06,None,None
7,2008.03.07,5.0,2008.02.07,None,None
8,2008.03.08,5.0,2008.02.08,None,None
9,2008.03.09,5.0,2008.02.09,None,None
10,2008.03.10,4.99,2008.02.10,None,None
11,2008.03.11,4.99,2008.02.11,None,None
12,2008.03.12,4.98,2008.02.12,None,None
13,2008.03.13,4.98,2008.02.13,None,None
14,2008.03.14,4.98,2008.02.14,None,None
15,2008.03.15,4.98,2008.02.15,None,None
16,2008.03.16,4.98,2008.02.16,None,None
17,2008.03.17,4.96,2008.02.17,None,None
18,2008.03.18,4.99,2008.02.18,None,None
19,2008.03.19,4.94,2008.02.19,None,None
20,2008.03.20,4.98,2008.02.20,None,None
21,2008.03.21,4.98,2008.02.21,None,None
22,2008.03.22,4.98,2008.02.22,None,None
23,2008.03.23,4.98,2008.02.23,None,None
24,2008.03.24,4.97,2008.02.24,None,None
25,2008.03.25,4.97,2008.02.25,None,None
26,2008.03.26,4.94,2008.02.26,None,None
27,2008.03.27,4.94,2008.02.27,None,None
28,2008.03.28,4.96,2008.02.28,None,None
29,2008.03.29,4.96,2008.02.29,4.94,None
30,2008.03.30,4.96,2008.02.29,4.94,None
31,2008.03.31,4.98,2008.02.29,4.94,Up
32,2008.04.01,4.97,2008.03.01,4.94,None
33,2008.04.02,5.0,2008.03.02,4.94,Up
34,2008.04.03,5.01,2008.03.03,4.94,Up
35,2008.04.04,5.1,2008.03.04,4.95,Up
36,2008.04.05,5.1,2008.03.05,4.94,Up
37,2008.04.06,5.1,2008.03.06,5.0,Up
38,2008.04.07,5.04,2008.03.07,5.0,Up
39,2008.04.08,5.03,2008.03.08,5.0,Up
40,2008.04.09,5.03,2008.03.09,5.0,Up
41,2008.04.10,4.98,2008.03.10,4.99,None
42,2008.04.11,5.0,2008.03.11,4.99,None
43,2008.04.12,5.0,2008.03.12,4.98,None
44,2008.04.13,5.0,2008.03.13,4.98,None
45,2008.04.14,5.0,2008.03.14,4.98,None
46,2008.04.15,5.0,2008.03.15,4.98,None
47,2008.04.16,5.0,2008.03.16,4.98,None
48,2008.04.17,5.0,2008.03.17,4.96,Up
49,2008.04.18,5.0,2008.03.18,4.99,None
50,2008.04.19,5.0,2008.03.19,4.94,Up
51,2008.04.20,5.0,2008.03.20,4.98,None
52,2008.04.21,4.97,2008.03.21,4.98,None
53,2008.04.22,4.98,2008.03.22,4.98,Same
54,2008.04.23,4.98,2008.03.23,4.98,Same
55,2008.04.24,5.0,2008.03.24,4.97,Up
56,2008.04.25,4.96,2008.03.25,4.97,None
57,2008.04.26,4.96,2008.03.26,4.94,None
58,2008.04.27,4.96,2008.03.27,4.94,None
59,2008.04.28,4.89,2008.03.28,4.96,Down
60,2008.04.29,4.94,2008.03.29,4.96,None
61,2008.04.30,4.95,2008.03.30,4.96,None
62,2008.05.01,4.95,2008.04.01,4.97,None
63,2008.05.02,4.96,2008.04.02,5.0,Down
64,2008.05.03,4.96,2008.04.03,5.01,Down
65,2008.05.04,4.96,2008.04.04,5.1,Down
66,2008.05.05,4.96,2008.04.05,5.1,Down
67,2008.05.06,5.19,2008.04.06,5.1,Up
68,2008.05.07,5.18,2008.04.07,5.04,Up
69,2008.05.08,5.01,2008.04.08,5.03,None
70,2008.05.09,5.0,2008.04.09,5.03,Down
71,2008.05.10,5.0,2008.04.10,4.98,None
72,2008.05.11,5.0,2008.04.11,5.0,Same
73,2008.05.12,5.0,2008.04.12,5.0,Same
74,2008.05.13,4.93,2008.04.13,5.0,Down
75,2008.05.14,4.87,2008.04.14,5.0,Down
76,2008.05.15,4.9,2008.04.15,5.0,Down
77,2008.05.16,4.95,2008.04.16,5.0,Down
78,2008.05.17,4.95,2008.04.17,5.0,Down
79,2008.05.18,4.95,2008.04.18,5.0,Down
80,2008.05.19,4.93,2008.04.19,5.0,Down
81,2008.05.20,4.63,2008.04.20,5.0,Down
82,2008.05.21,4.62,2008.04.21,4.97,Down
83,2008.05.22,5.0,2008.04.22,4.98,None
84,2008.05.23,5.0,2008.04.23,4.98,None
85,2008.05.24,5.0,2008.04.24,5.0,Same
86,2008.05.25,5.0,2008.04.25,4.96,Up
87,2008.05.26,5.0,2008.04.26,4.96,Up
88,2008.05.27,5.01,2008.04.27,4.96,Up
89,2008.05.28,5.03,2008.04.28,4.89,Up
90,2008.05.29,5.03,2008.04.29,4.94,Up
91,2008.05.30,5.04,2008.04.30,4.95,Up
92,2008.05.31,5.04,2008.04.30,4.95,Up
93,2008.06.01,5.04,2008.05.01,4.95,Up
94,2008.06.02,5.0,2008.05.02,4.96,Up
95,2008.06.03,5.0,2008.05.03,4.96,Up
96,2008.06.04,5.0,2008.05.04,4.96,Up
97,2008.06.05,5.0,2008.05.05,4.96,Up
98,2008.06.06,5.0,2008.05.06,5.19,Down
99,2008.06.07,5.0,2008.05.07,5.18,Down
100,2008.06.08,5.0,2008.05.08,5.01,None
101,2008.06.09,4.81,2008.05.09,5.0,Down
102,2008.06.10,4.57,2008.05.10,5.0,Down
103,2008.06.11,4.57,2008.05.11,5.0,Down
104,2008.06.12,4.99,2008.05.12,5.0,None
105,2008.06.13,4.99,2008.05.13,4.93,Up
106,2008.06.14,4.99,2008.05.14,4.87,Up
107,2008.06.15,4.99,2008.05.15,4.9,Up
108,2008.06.16,5.01,2008.05.16,4.95,Up
109,2008.06.17,5.0,2008.05.17,4.95,Up
110,2008.06.18,5.0,2008.05.18,4.95,Up
111,2008.06.19,5.0,2008.05.19,4.93,Up
112,2008.06.20,5.01,2008.05.20,4.63,Up
113,2008.06.21,5.01,2008.05.21,4.62,Up
114,2008.06.22,5.01,2008.05.22,5.0,None
115,2008.06.23,4.62,2008.05.23,5.0,Down
116,2008.06.24,4.55,2008.05.24,5.0,Down
117,2008.06.25,4.55,2008.05.25,5.0,Down
118,2008.06.26,5.01,2008.05.26,5.0,None
119,2008.06.27,4.99,2008.05.27,5.01,None
120,2008.06.28,4.99,2008.05.28,5.03,Down
121,2008.06.29,4.99,2008.05.29,5.03,Down
122,2008.06.30,5.01,2008.05.30,5.04,Down
123,2008.07.01,4.99,2008.06.01,5.04,Down
124,2008.07.02,4.99,2008.06.02,5.0,None
125,2008.07.03,4.99,2008.06.03,5.0,None
126,2008.07.04,5.03,2008.06.04,5.0,Up
127,2008.07.05,5.03,2008.06.05,5.0,Up
128,2008.07.06,5.03,2008.06.06,5.0,Up
129,2008.07.07,5.01,2008.06.07,5.0,None
130,2008.07.08,5.01,2008.06.08,5.0,None
131,2008.07.09,5.02,2008.06.09,4.81,Up
132,2008.07.10,5.01,2008.06.10,4.57,Up
133,2008.07.11,5.01,2008.06.11,4.57,Up
134,2008.07.12,5.01,2008.06.12,4.99,None
135,2008.07.13,5.01,2008.06.13,4.99,None
136,2008.07.14,5.0,2008.06.14,4.99,None
137,2008.07.15,5.01,2008.06.15,4.99,None
138,2008.07.16,5.0,2008.06.16,5.01,None
139,2008.07.17,5.01,2008.06.17,5.0,None
140,2008.07.18,5.01,2008.06.18,5.0,None
141,2008.07.19,5.01,2008.06.19,5.0,None
142,2008.07.20,5.01,2008.06.20,5.01,Same
143,2008.07.21,4.58,2008.06.21,5.01,Down
144,2008.07.22,4.57,2008.06.22,5.01,Down
145,2008.07.23,4.59,2008.06.23,4.62,Down
146,2008.07.24,5.0,2008.06.24,4.55,Up
147,2008.07.25,5.0,2008.06.25,4.55,Up
148,2008.07.26,5.0,2008.06.26,5.01,None
149,2008.07.27,5.0,2008.06.27,4.99,None
150,2008.07.28,5.01,2008.06.28,4.99,None
151,2008.07.29,5.0,2008.06.29,4.99,None
152,2008.07.30,5.0,2008.06.30,5.01,None
153,2008.07.31,5.03,2008.06.30,5.01,None
154,2008.08.01,5.02,2008.07.01,4.99,None
155,2008.08.02,5.02,2008.07.02,4.99,None
156,2008.08.03,5.02,2008.07.03,4.99,None
157,2008.08.04,5.02,2008.07.04,5.03,None
158,2008.08.05,5.02,2008.07.05,5.03,None
159,2008.08.06,5.01,2008.07.06,5.03,None
160,2008.08.07,5.24,2008.07.07,5.01,Up
161,2008.08.08,5.24,2008.07.08,5.01,Up
162,2008.08.09,5.24,2008.07.09,5.02,Up
163,2008.08.10,5.24,2008.07.10,5.01,Up
164,2008.08.11,5.24,2008.07.11,5.01,Up
165,2008.08.12,5.25,2008.07.12,5.01,Up
166,2008.08.13,5.25,2008.07.13,5.01,Up
167,2008.08.14,5.25,2008.07.14,5.0,Up
168,2008.08.15,5.25,2008.07.15,5.01,Up
169,2008.08.16,5.25,2008.07.16,5.0,Up
170,2008.08.17,5.25,2008.07.17,5.01,Up
171,2008.08.18,5.24,2008.07.18,5.01,Up
172,2008.08.19,5.22,2008.07.19,5.01,Up
173,2008.08.20,5.23,2008.07.20,5.01,Up
174,2008.08.21,5.25,2008.07.21,4.58,Up
175,2008.08.22,5.25,2008.07.22,4.57,Up
176,2008.08.23,5.25,2008.07.23,4.59,Up
177,2008.08.24,5.25,2008.07.24,5.0,Up
178,2008.08.25,5.24,2008.07.25,5.0,Up
179,2008.08.26,5.24,2008.07.26,5.0,Up
180,2008.08.27,5.24,2008.07.27,5.0,Up
181,2008.08.28,5.24,2008.07.28,5.01,Up
182,2008.08.29,5.25,2008.07.29,5.0,Up
183,2008.08.30,5.25,2008.07.30,5.0,Up
184,2008.08.31,5.25,2008.07.31,5.03,Up
185,2008.09.01,5.25,2008.08.01,5.02,Up
186,2008.09.02,5.24,2008.08.02,5.02,Up
187,2008.09.03,5.25,2008.08.03,5.02,Up
188,2008.09.04,5.25,2008.08.04,5.02,Up
189,2008.09.05,5.24,2008.08.05,5.02,Up
190,2008.09.06,5.24,2008.08.06,5.01,Up
191,2008.09.07,5.24,2008.08.07,5.24,Same
192,2008.09.08,5.25,2008.08.08,5.24,None
193,2008.09.09,5.28,2008.08.09,5.24,Up
194,2008.09.10,5.22,2008.08.10,5.24,None
195,2008.09.11,5.25,2008.08.11,5.24,None
196,2008.09.12,5.25,2008.08.12,5.25,Same
197,2008.09.13,5.25,2008.08.13,5.25,Same
198,2008.09.14,5.25,2008.08.14,5.25,Same
199,2008.09.15,5.25,2008.08.15,5.25,Same
200,2008.09.16,5.23,2008.08.16,5.25,None
201,2008.09.17,5.24,2008.08.17,5.25,None
202,2008.09.18,5.12,2008.08.18,5.24,Down
203,2008.09.19,5.07,2008.08.19,5.22,Down
204,2008.09.20,5.07,2008.08.20,5.23,Down
205,2008.09.21,5.07,2008.08.21,5.25,Down
206,2008.09.22,4.95,2008.08.22,5.25,Down
207,2008.09.23,4.8,2008.08.23,5.25,Down
208,2008.09.24,4.86,2008.08.24,5.25,Down
209,2008.09.25,5.23,2008.08.25,5.24,None
210,2008.09.26,5.23,2008.08.26,5.24,None
211,2008.09.27,5.23,2008.08.27,5.24,None
212,2008.09.28,5.23,2008.08.28,5.24,None
213,2008.09.29,5.22,2008.08.29,5.25,Down
214,2008.09.30,5.22,2008.08.30,5.25,Down
215,2008.10.01,5.22,2008.09.01,5.25,Down
216,2008.10.02,5.22,2008.09.02,5.24,None
217,2008.10.03,5.22,2008.09.03,5.25,Down
218,2008.10.04,5.22,2008.09.04,5.25,Down
219,2008.10.05,5.22,2008.09.05,5.24,None
220,2008.10.06,5.23,2008.09.06,5.24,None
221,2008.10.07,5.06,2008.09.07,5.24,Down
222,2008.10.08,5.12,2008.09.08,5.25,Down
223,2008.10.09,4.98,2008.09.09,5.28,Down
224,2008.10.10,4.98,2008.09.10,5.22,Down
225,2008.10.11,4.98,2008.09.11,5.25,Down
226,2008.10.12,4.98,2008.09.12,5.25,Down
227,2008.10.13,4.98,2008.09.13,5.25,Down
228,2008.10.14,4.98,2008.09.14,5.25,Down
229,2008.10.15,4.99,2008.09.15,5.25,Down
230,2008.10.16,4.99,2008.09.16,5.23,Down
231,2008.10.17,4.99,2008.09.17,5.24,Down
232,2008.10.18,4.99,2008.09.18,5.12,Down
233,2008.10.19,4.99,2008.09.19,5.07,Down
234,2008.10.20,4.97,2008.09.20,5.07,Down
235,2008.10.21,4.89,2008.09.21,5.07,Down
236,2008.10.22,4.89,2008.09.22,4.95,Down
237,2008.10.23,4.98,2008.09.23,4.8,Up
238,2008.10.24,4.98,2008.09.24,4.86,Up
239,2008.10.25,4.98,2008.09.25,5.23,Down
240,2008.10.26,4.98,2008.09.26,5.23,Down
241,2008.10.27,4.28,2008.09.27,5.23,Down
242,2008.10.28,4.24,2008.09.28,5.23,Down
243,2008.10.29,4.24,2008.09.29,5.22,Down
244,2008.10.30,4.21,2008.09.30,5.22,Down
245,2008.10.31,4.14,2008.09.30,5.22,Down
246,2008.11.01,4.14,2008.10.01,5.22,Down
247,2008.11.02,4.14,2008.10.02,5.22,Down
248,2008.11.03,4.1,2008.10.03,5.22,Down
249,2008.11.04,4.02,2008.10.04,5.22,Down
250,2008.11.05,4.04,2008.10.05,5.22,Down
251,2008.11.06,4.22,2008.10.06,5.23,Down
252,2008.11.07,3.97,2008.10.07,5.06,Down
253,2008.11.08,3.97,2008.10.08,5.12,Down
254,2008.11.09,3.97,2008.10.09,4.98,Down
255,2008.11.10,3.97,2008.10.10,4.98,Down
256,2008.11.11,3.98,2008.10.11,4.98,Down
257,2008.11.12,3.98,2008.10.12,4.98,Down
258,2008.11.13,3.98,2008.10.13,4.98,Down
259,2008.11.14,3.98,2008.10.14,4.98,Down
260,2008.11.15,3.98,2008.10.15,4.99,Down
261,2008.11.16,3.98,2008.10.16,4.99,Down
262,2008.11.17,3.93,2008.10.17,4.99,Down
263,2008.11.18,3.95,2008.10.18,4.99,Down
264,2008.11.19,3.95,2008.10.19,4.99,Down
265,2008.11.20,3.99,2008.10.20,4.97,Down
266,2008.11.21,3.98,2008.10.21,4.89,Down
267,2008.11.22,3.98,2008.10.22,4.89,Down
268,2008.11.23,3.98,2008.10.23,4.98,Down
269,2008.11.24,3.99,2008.10.24,4.98,Down
270,2008.11.25,3.98,2008.10.25,4.98,Down
271,2008.11.26,3.98,2008.10.26,4.98,Down
272,2008.11.27,3.98,2008.10.27,4.28,Down
273,2008.11.28,3.99,2008.10.28,4.24,Down
274,2008.11.29,3.99,2008.10.29,4.24,Down
275,2008.11.30,3.99,2008.10.30,4.21,Down
276,2008.12.01,3.97,2008.11.01,4.14,Down
277,2008.12.02,3.97,2008.11.02,4.14,Down
278,2008.12.03,3.97,2008.11.03,4.1,Down
279,2008.12.04,3.91,2008.11.04,4.02,Down
280,2008.12.05,3.85,2008.11.05,4.04,Down
281,2008.12.06,3.85,2008.11.06,4.22,Down
282,2008.12.07,3.85,2008.11.07,3.97,Down
283,2008.12.08,3.71,2008.11.08,3.97,Down
284,2008.12.09,3.61,2008.11.09,3.97,Down
285,2008.12.10,3.62,2008.11.10,3.97,Down
286,2008.12.11,3.16,2008.11.11,3.98,Down
287,2008.12.12,2.9,2008.11.12,3.98,Down
288,2008.12.13,2.9,2008.11.13,3.98,Down
289,2008.12.14,2.9,2008.11.14,3.98,Down
290,2008.12.15,2.83,2008.11.15,3.98,Down
291,2008.12.16,2.78,2008.11.16,3.98,Down
292,2008.12.17,2.81,2008.11.17,3.93,Down
293,2008.12.18,2.81,2008.11.18,3.95,Down
294,2008.12.19,2.82,2008.11.19,3.95,Down
295,2008.12.20,2.82,2008.11.20,3.99,Down
296,2008.12.21,2.82,2008.11.21,3.98,Down
297,2008.12.22,2.7,2008.11.22,3.98,Down
298,2008.12.23,2.57,2008.11.23,3.98,Down
299,2008.12.24,2.66,2008.11.24,3.99,Down
300,2008.12.25,2.66,2008.11.25,3.98,Down
301,2008.12.26,2.99,2008.11.26,3.98,Down
302,2008.12.27,2.99,2008.11.27,3.98,Down
303,2008.12.28,2.99,2008.11.28,3.99,Down
304,2008.12.29,2.97,2008.11.29,3.99,Down
305,2008.12.30,2.94,2008.11.30,3.99,Down
306,2008.12.31,3.02,2008.11.30,3.99,Down
307,2009.01.01,3.02,2008.12.01,3.97,Down
308,2009.01.02,2.87,2008.12.02,3.97,Down
309,2009.01.03,2.87,2008.12.03,3.97,Down
310,2009.01.04,2.87,2008.12.04,3.91,Down
311,2009.01.05,2.75,2008.12.05,3.85,Down
312,2009.01.06,2.59,2008.12.06,3.85,Down
313,2009.01.07,2.58,2008.12.07,3.85,Down
314,2009.01.08,2.98,2008.12.08,3.71,Down
315,2009.01.09,2.49,2008.12.09,3.61,Down
316,2009.01.10,2.49,2008.12.10,3.62,Down
317,2009.01.11,2.49,2008.12.11,3.16,Down
318,2009.01.12,2.42,2008.12.12,2.9,Down
319,2009.01.13,2.26,2008.12.13,2.9,Down
320,2009.01.14,2.22,2008.12.14,2.9,Down
321,2009.01.15,2.04,2008.12.15,2.83,Down
322,2009.01.16,2.02,2008.12.16,2.78,Down
323,2009.01.17,2.02,2008.12.17,2.81,Down
324,2009.01.18,2.02,2008.12.18,2.81,Down
325,2009.01.19,1.99,2008.12.19,2.82,Down
326,2009.01.20,2.0,2008.12.20,2.82,Down
327,2009.01.21,2.1,2008.12.21,2.82,Down
328,2009.01.22,2.51,2008.12.22,2.7,Down
329,2009.01.23,2.44,2008.12.23,2.57,Down
330,2009.01.24,2.44,2008.12.24,2.66,Down
331,2009.01.25,2.44,2008.12.25,2.66,Down
332,2009.01.26,2.44,2008.12.26,2.99,Down
333,2009.01.27,2.44,2008.12.27,2.99,Down
334,2009.01.28,2.47,2008.12.28,2.99,Down
335,2009.01.29,2.45,2008.12.29,2.97,Down
336,2009.01.30,2.41,2008.12.30,2.94,Down
337,2009.01.31,2.41,2008.12.31,3.02,Down
338,2009.02.01,2.41,2009.01.01,3.02,Down
339,2009.02.02,2.38,2009.01.02,2.87,Down
340,2009.02.03,2.38,2009.01.03,2.87,Down
341,2009.02.04,2.38,2009.01.04,2.87,Down
342,2009.02.05,2.39,2009.01.05,2.75,Down
343,2009.02.06,2.39,2009.01.06,2.59,Down
344,2009.02.07,2.39,2009.01.07,2.58,Down
345,2009.02.08,2.39,2009.01.08,2.98,Down
346,2009.02.09,2.2,2009.01.09,2.49,Down
347,2009.02.10,2.07,2009.01.10,2.49,Down
348,2009.02.11,2.06,2009.01.11,2.49,Down
349,2009.02.12,2.02,2009.01.12,2.42,Down
350,2009.02.13,1.92,2009.01.13,2.26,Down
351,2009.02.14,1.92,2009.01.14,2.22,Down
352,2009.02.15,1.92,2009.01.15,2.04,Down
353,2009.02.16,1.69,2009.01.16,2.02,Down
354,2009.02.17,1.76,2009.01.17,2.02,Down
355,2009.02.18,1.75,2009.01.18,2.02,Down
356,2009.02.19,1.79,2009.01.19,1.99,Down
357,2009.02.20,1.82,2009.01.20,2.0,Down
358,2009.02.21,1.82,2009.01.21,2.1,Down
359,2009.02.22,1.82,2009.01.22,2.51,Down
360,2009.02.23,1.76,2009.01.23,2.44,Down
361,2009.02.24,1.55,2009.01.24,2.44,Down
362,2009.02.25,1.58,2009.01.25,2.44,Down
363,2009.02.26,1.88,2009.01.26,2.44,Down
364,2009.02.27,1.87,2009.01.27,2.44,Down
365,2009.02.28,1.87,2009.01.28,2.47,Down
366,2009.03.01,1.87,2009.02.01,2.41,Down
367,2009.03.02,1.75,2009.02.02,2.38,Down
368,2009.03.03,1.75,2009.02.03,2.38,Down
369,2009.03.04,1.76,2009.02.04,2.38,Down
370,2009.03.05,1.75,2009.02.05,2.39,Down
371,2009.03.06,1.76,2009.02.06,2.39,Down
372,2009.03.07,1.76,2009.02.07,2.39,Down
373,2009.03.08,1.76,2009.02.08,2.39,Down
374,2009.03.09,1.7,2009.02.09,2.2,Down
375,2009.03.10,1.63,2009.02.10,2.07,Down
376,2009.03.11,1.64,2009.02.11,2.06,Down
377,2009.03.12,1.78,2009.02.12,2.02,Down
378,2009.03.13,1.82,2009.02.13,1.92,Down
379,2009.03.14,1.82,2009.02.14,1.92,Down
380,2009.03.15,1.82,2009.02.15,1.92,Down
381,2009.03.16,1.82,2009.02.16,1.69,Up
382,2009.03.17,1.94,2009.02.17,1.76,Up
383,2009.03.18,1.87,2009.02.18,1.75,Up
384,2009.03.19,1.79,2009.02.19,1.79,Same
385,2009.03.20,1.81,2009.02.20,1.82,None
386,2009.03.21,1.81,2009.02.21,1.82,None
387,2009.03.22,1.81,2009.02.22,1.82,None
388,2009.03.23,1.74,2009.02.23,1.76,None
389,2009.03.24,1.63,2009.02.24,1.55,Up
390,2009.03.25,1.56,2009.02.25,1.58,None
391,2009.03.26,1.89,2009.02.26,1.88,None
392,2009.03.27,1.76,2009.02.27,1.87,Down
393,2009.03.28,1.76,2009.02.28,1.87,Down
394,2009.03.29,1.76,2009.02.28,1.87,Down
395,2009.03.30,1.76,2009.02.28,1.87,Down
396,2009.03.31,1.73,2009.02.28,1.87,Down
397,2009.04.01,1.72,2009.03.01,1.87,Down
398,2009.04.02,1.65,2009.03.02,1.75,Down
399,2009.04.03,1.66,2009.03.03,1.75,Down
400,2009.04.04,1.66,2009.03.04,1.76,Down
401,2009.04.05,1.66,2009.03.05,1.75,Down
402,2009.04.06,1.65,2009.03.06,1.76,Down
403,2009.04.07,1.57,2009.03.07,1.76,Down
404,2009.04.08,1.58,2009.03.08,1.76,Down
405,2009.04.09,1.86,2009.03.09,1.7,Up
406,2009.04.10,1.82,2009.03.10,1.63,Up
407,2009.04.11,1.82,2009.03.11,1.64,Up
408,2009.04.12,1.82,2009.03.12,1.78,Up
409,2009.04.13,1.8,2009.03.13,1.82,None
410,2009.04.14,1.79,2009.03.14,1.82,Down
411,2009.04.15,1.76,2009.03.15,1.82,Down
412,2009.04.16,1.83,2009.03.16,1.82,None
413,2009.04.17,1.83,2009.03.17,1.94,Down
414,2009.04.18,1.83,2009.03.18,1.87,Down
415,2009.04.19,1.83,2009.03.19,1.79,Up
416,2009.04.20,1.86,2009.03.20,1.81,Up
417,2009.04.21,1.57,2009.03.21,1.81,Down
418,2009.04.22,1.57,2009.03.22,1.81,Down
419,2009.04.23,1.89,2009.03.23,1.74,Up
420,2009.04.24,1.84,2009.03.24,1.63,Up
421,2009.04.25,1.84,2009.03.25,1.56,Up
422,2009.04.26,1.84,2009.03.26,1.89,Down
423,2009.04.27,1.87,2009.03.27,1.76,Up
424,2009.04.28,1.85,2009.03.28,1.76,Up
425,2009.04.29,1.84,2009.03.29,1.76,Up
426,2009.04.30,1.85,2009.03.30,1.76,Up
427,2009.05.01,1.85,2009.04.01,1.72,Up
428,2009.05.02,1.85,2009.04.02,1.65,Up
429,2009.05.03,1.85,2009.04.03,1.66,Up
430,2009.05.04,1.77,2009.04.04,1.66,Up
431,2009.05.05,1.77,2009.04.05,1.66,Up
432,2009.05.06,1.72,2009.04.06,1.65,Up
433,2009.05.07,1.83,2009.04.07,1.57,Up
434,2009.05.08,1.92,2009.04.08,1.58,Up
435,2009.05.09,1.92,2009.04.09,1.86,Up
436,2009.05.10,1.92,2009.04.10,1.82,Up
437,2009.05.11,1.93,2009.04.11,1.82,Up
438,2009.05.12,1.93,2009.04.12,1.82,Up
439,2009.05.13,1.93,2009.04.13,1.8,Up
440,2009.05.14,1.93,2009.04.14,1.79,Up
441,2009.05.15,1.93,2009.04.15,1.76,Up
442,2009.05.16,1.93,2009.04.16,1.83,Up
443,2009.05.17,1.93,2009.04.17,1.83,Up
444,2009.05.18,1.89,2009.04.18,1.83,Up
445,2009.05.19,1.74,2009.04.19,1.83,Down
446,2009.05.20,1.73,2009.04.20,1.86,Down
447,2009.05.21,1.96,2009.04.21,1.57,Up
448,2009.05.22,1.97,2009.04.22,1.57,Up
449,2009.05.23,1.97,2009.04.23,1.89,Up
450,2009.05.24,1.97,2009.04.24,1.84,Up
451,2009.05.25,1.97,2009.04.25,1.84,Up
452,2009.05.26,1.97,2009.04.26,1.84,Up
453,2009.05.27,1.96,2009.04.27,1.87,Up
454,2009.05.28,1.97,2009.04.28,1.85,Up
455,2009.05.29,1.96,2009.04.29,1.84,Up
456,2009.05.30,1.96,2009.04.30,1.85,Up
457,2009.05.31,1.96,2009.04.30,1.85,Up
458,2009.06.01,1.95,2009.05.01,1.85,Up
459,2009.06.02,1.93,2009.05.02,1.85,Up
460,2009.06.03,1.92,2009.05.03,1.85,Up
461,2009.06.04,1.93,2009.05.04,1.77,Up
462,2009.06.05,1.93,2009.05.05,1.77,Up
463,2009.06.06,1.93,2009.05.06,1.72,Up
464,2009.06.07,1.93,2009.05.07,1.83,Up
465,2009.06.08,1.93,2009.05.08,1.92,None
466,2009.06.09,1.96,2009.05.09,1.92,Up
467,2009.06.10,1.93,2009.05.10,1.92,None
468,2009.06.11,1.96,2009.05.11,1.93,Up
469,2009.06.12,1.94,2009.05.12,1.93,None
470,2009.06.13,1.94,2009.05.13,1.93,None
471,2009.06.14,1.94,2009.05.14,1.93,None
472,2009.06.15,1.93,2009.05.15,1.93,Same
473,2009.06.16,1.94,2009.05.16,1.93,None
474,2009.06.17,1.95,2009.05.17,1.93,None
475,2009.06.18,1.95,2009.05.18,1.89,Up
476,2009.06.19,1.94,2009.05.19,1.74,Up
477,2009.06.20,1.94,2009.05.20,1.73,Up
478,2009.06.21,1.94,2009.05.21,1.96,None
479,2009.06.22,1.93,2009.05.22,1.97,Down
480,2009.06.23,1.82,2009.05.23,1.97,Down
481,2009.06.24,1.87,2009.05.24,1.97,Down
482,2009.06.25,1.93,2009.05.25,1.97,Down
483,2009.06.26,1.92,2009.05.26,1.97,Down
484,2009.06.27,1.92,2009.05.27,1.96,Down
485,2009.06.28,1.92,2009.05.28,1.97,Down
486,2009.06.29,1.92,2009.05.29,1.96,Down
487,2009.06.30,1.96,2009.05.30,1.96,Same
488,2009.07.01,1.9,2009.06.01,1.95,Down
489,2009.07.02,1.92,2009.06.02,1.93,None
490,2009.07.03,1.92,2009.06.03,1.92,Same
491,2009.07.04,1.92,2009.06.04,1.93,None
492,2009.07.05,1.92,2009.06.05,1.93,None
493,2009.07.06,1.93,2009.06.06,1.93,Same
494,2009.07.07,1.92,2009.06.07,1.93,None
495,2009.07.08,1.92,2009.06.08,1.93,None
496,2009.07.09,1.93,2009.06.09,1.96,Down
497,2009.07.10,1.94,2009.06.10,1.93,None
498,2009.07.11,1.94,2009.06.11,1.96,None
499,2009.07.12,1.94,2009.06.12,1.94,Same
500,2009.07.13,1.94,2009.06.13,1.94,Same
501,2009.07.14,1.95,2009.06.14,1.94,None
502,2009.07.15,1.95,2009.06.15,1.93,None
503,2009.07.16,1.95,2009.06.16,1.94,None
504,2009.07.17,1.94,2009.06.17,1.95,None
505,2009.07.18,1.94,2009.06.18,1.95,None
506,2009.07.19,1.94,2009.06.19,1.94,Same
507,2009.07.20,1.94,2009.06.20,1.94,Same
508,2009.07.21,1.93,2009.06.21,1.94,None
509,2009.07.22,1.93,2009.06.22,1.93,Same
510,2009.07.23,1.93,2009.06.23,1.82,Up
511,2009.07.24,1.93,2009.06.24,1.87,Up
512,2009.07.25,1.93,2009.06.25,1.93,Same
513,2009.07.26,1.93,2009.06.26,1.92,None
514,2009.07.27,1.93,2009.06.27,1.92,None
515,2009.07.28,1.93,2009.06.28,1.92,None
516,2009.07.29,1.93,2009.06.29,1.92,None
517,2009.07.30,1.93,2009.06.30,1.96,Down
518,2009.07.31,1.95,2009.06.30,1.96,None
519,2009.08.01,1.95,2009.07.01,1.9,Up
520,2009.08.02,1.95,2009.07.02,1.92,Up
521,2009.08.03,1.94,2009.07.03,1.92,None
522,2009.08.04,1.97,2009.07.04,1.92,Up
523,2009.08.05,1.97,2009.07.05,1.92,Up
