word,up,down,total,polar_score,polarity
물가/NNG;떨어/VV,22,13,35,1.5338752307969103,Hawkish
가용자금/NNG,11,6,17,1.661698166696653,Hawkish
지준율/NNG;인상/NNG,18,9,27,1.812761636396349,Hawkish
fed/NNG;통화/NNG;긴축/NNG,43,23,66,1.6945380514139783,Hawkish
명시적/VAX,60,35,95,1.5537956883397275,Hawkish
종류별/NNG,159,83,242,1.7363198806446956,Hawkish
집약/NNG,42,23,65,1.655130189753188,Hawkish
사업비율/NNG,55,22,77,2.2659520454954363,Hawkish
다주택자/NNG,29,17,46,1.5461790428086506,Hawkish
대외/NNG;통화정책/NNG;불확실성/NNG,13,8,21,1.4728688295720334,Hawkish
통화불일치/NNG,14,4,18,3.1723328636936103,Hawkish
까까/NNG,108,59,167,1.659137768905133,Hawkish
미시간대/NNG,345,196,541,1.5954152157059702,Hawkish
수요/NNG;증가/NNG;확대/NNG,17,8,25,1.9260592386711206,Hawkish
필자/NNG,88,59,147,1.3518900339227007,Hawkish
동맹국/NNG,34,16,50,1.9260592386711206,Hawkish
유가/NNG;오르/VV,44,24,68,1.661698166696653,Hawkish
컨센서스/NNG;상향/NNG,12,6,18,1.8127616363963488,Hawkish
결의안/NNG,25,13,38,1.7430400349964892,Hawkish
연면적/NNG,19,7,26,2.460176506537902,Hawkish
양극/NNG,35,22,57,1.4419694834970957,Hawkish
내준/VV,18,8,26,2.0393568409458926,Hawkish
여력/NNG;확보/NNG,37,22,59,1.5243677396969297,Hawkish
입법화/NNG,21,10,31,1.9033997182161664,Hawkish
신청자/NNG,15,10,25,1.3595712272972615,Hawkish
선제안내/NNG,13,9,22,1.309216737397363,Hawkish
선도거래/NNG,19,10,29,1.7221235545765314,Hawkish
송운/NNG,56,27,83,1.8799009562628803,Hawkish
폐쇄/NNG,374,251,625,1.3505435299048496,Hawkish
표기/NNG,86,49,135,1.590790823776388,Hawkish
신발/NNG,65,40,105,1.4728688295720334,Hawkish
망망/NNG,820,460,1280,1.6157223280923978,Hawkish
정신/NNG,33,19,52,1.574240368449461,Hawkish
정에/NNG,14,7,21,1.812761636396349,Hawkish
전망/NNG;하향/NNG,158,101,259,1.4179026660921936,Hawkish
가격/NNG;부담/NNG;높/VA,15,3,18,4.531904090990872,Hawkish
피해갈/VV,16,8,24,1.8127616363963488,Hawkish
거둘/VV,34,22,56,1.4007703553971786,Hawkish
실업수당청구/NNG,831,529,1360,1.4238231756572457,Hawkish
멈춘다면/VV,19,6,25,2.870205924294219,Hawkish
공동대표/NNG,11,7,18,1.424312714311417,Hawkish
회복/NNG;전환/NNG,12,7,19,1.5537956883397277,Hawkish
원재료/NNG,100,36,136,2.5177244949949293,Hawkish
건설/NNG;하락/NNG,15,6,21,2.265952045495436,Hawkish
교역국/NNG,20,13,33,1.3944320279971913,Hawkish
하락/NNG;견인/NNG,24,16,40,1.3595712272972615,Hawkish
고용/NNG;고용자수/NNG;증가/NNG;둔화/NNG,14,3,17,4.229777151591481,Hawkish
서도/NNG,24,16,40,1.3595712272972615,Hawkish
원서/NNG,15,2,17,6.797856136486308,Hawkish
가지/NNG,24,10,34,2.1753139636756185,Hawkish
계단식/NNG,13,6,19,1.9638251060960445,Hawkish
원전사태/NNG,16,1,17,14.50209309117079,Hawkish
계약금/NNG,36,23,59,1.418683019788447,Hawkish
통화정책방향회의/NNG,44,9,53,4.431195111191075,Hawkish
벌크/NNG,51,9,60,5.1361579697896556,Hawkish
기안/NNG,13,6,19,1.9638251060960445,Hawkish
지정학/NNG;위험/NNG;확산/NNG,16,4,20,3.6255232727926976,Hawkish
암울/NNG,26,7,33,3.3665573247360765,Hawkish
가격/NNG;인하/NNG,49,34,83,1.3062547085797218,Hawkish
각자도생/NNG,24,16,40,1.3595712272972615,Hawkish
엔저/NNG,206,138,344,1.3530032503537965,Hawkish
통방문/NNG,286,90,376,2.880276822274199,Hawkish
미실/NNG,11,6,17,1.661698166696653,Hawkish
부동산/NNG;부진/NNG,31,13,44,2.1613696433956466,Hawkish
경기선/NNG,14,8,22,1.5861664318468052,Hawkish
총계/NNG,42,24,66,1.5861664318468052,Hawkish
고찰/NNG,25,16,41,1.4162200284346476,Hawkish
연금저축/NNG,21,4,25,4.758499295540416,Hawkish
적절/NNG,1795,1231,3026,1.3216519647975005,Hawkish
레벨2/NNG,15,6,21,2.265952045495436,Hawkish
쇄신/NNG,26,11,37,2.142354661195685,Hawkish
통해/NNG,32,13,45,2.2310912447955062,Hawkish
고강/NNG,62,39,101,1.4409130955970977,Hawkish
